method,k,seed,inertia,iterations,silhouette,runtime
random,5,5,255.41731491821196,6,0.3087440863811974,0.001404433001880534
random,5,6,248.15251009084992,11,0.31504010421339573,0.0030775010091019794
random,5,7,249.1662389480621,8,0.3232446721764543,0.0018514629919081926
random,5,8,245.4216657732871,11,0.3403852756130953,0.002730763008003123
random,5,9,247.1962841607146,10,0.31505035055937297,0.0021744480036431924
random,5,10,245.87533562079796,31,0.3296526370332993,0.007016280011157505
random,5,11,245.19840139650626,10,0.3450853796281963,0.002271691002533771
random,5,12,249.97489215851311,13,0.3246016211530775,0.002648726003826596
random,5,13,247.0673010482782,10,0.3161043369910885,0.002156128000933677
random,5,14,260.9557669306871,24,0.3409973301860458,0.006099248988903128
random,5,15,245.87533562079796,18,0.3296526370332993,0.003618520000600256
random,5,16,244.7891912801751,19,0.3390209299332087,0.0035529050073819235
random,5,17,245.29848823300196,12,0.35477083655435104,0.002295533995493315
random,5,18,247.18577359833523,21,0.3225195908889099,0.004415196992340498
random,5,19,248.667192866596,39,0.3304612402816931,0.008255993001512252
random,5,20,249.32324091257834,15,0.3202673830466461,0.0033189620007760823
random,5,21,249.3234494275929,17,0.3275948909176852,0.003739658000995405
random,5,22,246.9220209596196,14,0.319455231020986,0.003011185006471351
random,5,23,247.92887073023383,9,0.33338461468968317,0.002091463000397198
random,5,24,249.51849033573143,18,0.33967239754316564,0.003885858997819014
random,5,25,248.65052428339953,16,0.3386872879893269,0.0033218270109500736
random,5,26,249.6425523290688,12,0.31357536724047147,0.002402824000455439
random,5,27,244.7891912801751,13,0.3390209299332087,0.003694711995194666
random,5,28,259.75685340365976,8,0.3454282468052569,0.002461729003698565
random,5,29,245.87533562079796,20,0.3296526370332993,0.0042133679962717
random,8,0,159.2343648026754,16,0.3368675548768546,0.0044026830000802875
random,8,1,149.55545259412986,17,0.3416621072181303,0.00456175600993447
random,8,2,154.0599997861109,18,0.3362324944248731,0.004783329990459606
random,8,3,150.4216028733721,9,0.3384277112503519,0.0023933630000101402
random,8,4,150.84904922253423,14,0.3331671692581783,0.004936841010930948
random,8,5,151.71850933981318,13,0.3381564582021312,0.0034855010017054155
random,8,6,155.08236518259355,23,0.3361830342165353,0.00604741700226441
random,8,7,160.59144317198974,22,0.3200908325195436,0.005962538009043783
random,8,8,153.18110977605699,10,0.34076791286127084,0.0027340990054653957
random,8,9,152.76285734787137,19,0.31954145521572286,0.004989584005670622
random,8,10,155.20389069022042,20,0.3315609361862056,0.006205106998095289
random,8,11,149.77289020563506,27,0.3402313775014019,0.007893806003266945
random,8,12,154.0780655818241,16,0.3312103125530536,0.004137398005696014
