method,k,seed,inertia,iterations,silhouette,runtime
kmeans++,3,15,442.5494767613831,13,0.4330556054236194,0.00266449800983537
kmeans++,3,16,431.74652181848677,10,0.38637711972844013,0.002779891001409851
kmeans++,3,17,431.3883681405606,20,0.39410465422138957,0.0034123270015697926
kmeans++,3,18,430.8095693438658,18,0.3862539887349027,0.003159637999488041
kmeans++,3,19,431.3883681405606,17,0.39410465422138957,0.003054276996408589
kmeans++,3,20,430.84295066929894,28,0.3840870607089446,0.007586851992527954
kmeans++,3,21,431.3883681405606,20,0.39410465422138957,0.004213228006847203
kmeans++,3,22,431.78178164515646,10,0.382058584324242,0.0018503409955883399
kmeans++,3,23,431.3883681405606,17,0.39410465422138957,0.004179848998319358
kmeans++,3,24,430.2972107167493,8,0.3967309405282826,0.0019336679979460314
kmeans++,3,25,430.9231577143687,13,0.38221893819715497,0.0025082639913307503
kmeans++,3,26,430.42824458991817,19,0.3980161960482732,0.0036867830058326945
kmeans++,3,27,431.74652181848677,13,0.38637711972844013,0.0032478680077474564
kmeans++,3,28,430.9074400972148,12,0.3798031708083319,0.002894062999985181
kmeans++,3,29,431.3883681405606,11,0.39410465422138957,0.0027461309946374968
kmeans++,5,0,253.52105491550526,9,0.3898762136911183,0.0027423889987403527
kmeans++,5,1,254.00520677264396,23,0.36490993669621846,0.0052177549951011315
kmeans++,5,2,263.59460326432435,22,0.39790704501439833,0.005502695988980122
kmeans++,5,3,267.35911041143703,8,0.3090013646579619,0.0019531330035533756
kmeans++,5,4,253.65982194556398,23,0.3894360550791709,0.005778976003057323
kmeans++,5,5,253.40351069803128,13,0.38983133606678844,0.0029246359918033704
kmeans++,5,6,257.0928009237033,35,0.3813667989449884,0.007406250995700248
kmeans++,5,7,269.19119321807483,10,0.3108823858856279,0.0023607979965163395
kmeans++,5,8,264.9014972137352,11,0.3689530803799993,0.0025999399949796498
kmeans++,5,9,264.4818890177535,12,0.3953952790859087,0.0026159970002481714
kmeans++,5,10,268.0759136334027,17,0.312438789777367,0.004481416995986365
kmeans++,5,11,257.0928009237033,34,0.3813667989449884,0.00883941700158175
kmeans++,5,12,269.1978726183452,14,0.31109677488352955,0.0031269809987861663
kmeans++,5,13,263.08044420749854,18,0.39967889569224146,0.004177413007710129
kmeans++,5,14,264.4818890177535,10,0.3953952790859087,0.0023237519926624373
