method,k,inertia_mean,inertia_std,silhouette_mean,silhouette_std,iterations_mean,iterations_std,runtime_mean,runtime_std
gonzalez,3,436.54353014319366,6.119872291710356,0.4142738242318773,0.01931215735941192,18.133333333333333,0.9371024061116427,0.0030888798670882047,0.000417725803207592
gonzalez,5,263.4688624029745,1.249015322505417,0.39322931536478456,0.022946994469684304,18.4,2.4154673996186924,0.004143714964933072,0.0005252504089906419
gonzalez,8,175.5206103784276,15.448925113403503,0.3648598290242611,0.012049133053321292,19.6,7.981011948627687,0.005785764298828629,0.002298887337376125
kmeans++,3,431.9607567849767,2.93503252535474,0.3931658650047846,0.012261391681667646,14.966666666666667,5.48655619223705,0.003023502100647117,0.0011864961906543573
kmeans++,5,260.8708200346079,7.730471265518042,0.3673133805278467,0.03125381383203004,17.5,7.304934562712882,0.004318453799351118,0.001826097999812145
kmeans++,8,165.46193942444043,11.164314716039373,0.347474246432153,0.01810273403276111,20.566666666666666,10.532980497509694,0.006467856300878339,0.003193989956164581
random,3,432.28074732840497,5.51400275309152,0.3821463462819852,0.019474696295575925,14.966666666666667,5.49911173600405,0.0038768180005718023,0.005449503454588488
random,5,262.4011498128459,8.374222547194877,0.3551286854784266,0.02557869240015488,20.266666666666666,7.220341635499898,0.004577004399713284,0.0017391479516683933
random,8,168.84634219485375,3.495570978382391,0.33806788357334433,0.014538726328248045,22.433333333333334,7.890121861448387,0.006859769131309198,0.0024064349244942223
