symbol,avg_daily_return,volatility,n_days,annual_return,annual_volatility
A,3.338060304328426e-05,0.016368621851207545,251,0.00837853136386435,0.25932774072255577
AAPL,0.0013115518035315412,0.014123086664855527,251,0.32919950268641684,0.22375177275878289
ABBV,0.0006791590271805097,0.01490534021522469,251,0.17046891582230794,0.23614499973497258
ABNB,0.00013167025880243748,0.020991802128946014,251,0.03304923495941181,0.33257269116965454
ABT,0.0002589293818792142,0.01131297317951855,251,0.06499127485168277,0.17923120236802245
ACGL,0.0011016397443951076,0.014186783983921604,251,0.276511575843172,0.22476092808008263
ACN,0.00024114438288781455,0.015634256744084175,251,0.06052724010484145,0.24769320937184636
ADBE,-0.0007881708319169288,0.02306092999430834,251,-0.19783087881114914,0.3653538415602057
ADI,0.0006342961183613122,0.01990885813047997,251,0.15920832570868937,0.31541563158308145
ADM,-0.001066591994351626,0.021093448718570003,251,-0.2677145905822581,0.33418307600711705
ADP,0.001034899435234679,0.009598470561113279,251,0.2597597582439044,0.15206837250149066
ADSK,0.00107257465407601,0.016920432769911672,251,0.2692162381730785,0.2680700698052587
AEE,0.0009334650612089477,0.010676799481239964,251,0.23429973036344587,0.16915231549646045
AEP,0.0006375491604563631,0.01158956987026174,251,0.16002483927454714,0.1836133180741456
AES,-0.0011744334591074735,0.023825350429803164,251,-0.29478279823597586,0.3774645388627035
AFL,0.0010347106578229533,0.013013157580466827,251,0.25971237511356127,0.2061671890086523
AIG,0.00038964033223654314,0.012841351862098603,251,0.09779972339137233,0.2034452745315114
AIZ,0.0010421921042394785,0.012174472470860157,251,0.2615902181641091,0.19287991799530785
AJG,0.0010198027983704147,0.01082227871636682,251,0.2559705023909741,0.17145714003883386
AKAM,-0.0006163137783655016,0.01883354002673816,251,-0.1546947583697409,0.298379388890429
ALB,-0.001406201692499002,0.03628308137181568,251,-0.35295662481724954,0.5748321150147087
ALGN,-0.0007369340549738617,0.023507316268189776,251,-0.1849704477984393,0.37242593015431624
ALL,0.0013358179405247922,0.013054382964740834,251,0.3352903030717228,0.20682032192731697
ALLE,0.0003370146079558873,0.012533493292828643,251,0.08459066659692771,0.1985678775242021
AMAT,0.0005952458611151089,0.026625584521090345,251,0.14940671113989235,0.42182859021588515
AMCR,0.00015545692576344778,0.014060541211868942,251,0.039019688366625394,0.22276086642818774
AMD,-9.710909526484454e-05,0.02998460511378093,251,-0.024374382911475978,0.47504548466559887
AME,0.0005235386778767636,0.013723524572260278,251,0.13140820814706766,0.2174215187097251
AMGN,-0.0002779752414062945,0.016127545685110115,251,-0.06977178559297992,0.2555083759608553
AMP,0.001496106148913871,0.013296681505412912,251,0.3755226433773816,0.2106590527443666
AMT,-0.0004484506291966443,0.015589925973409795,251,-0.11256110792835772,0.24699087788004587
AMZN,0.0016740544149701608,0.01770633476065733,251,0.42018765815751036,0.28052109894760496
ANET,0.0029077310876473817,0.02567578331581841,251,0.7298405029994928,0.406780909174823
AON,0.0009876852050471987,0.012260691738452635,251,0.24790898646684686,0.1942458880858113
AOS,-0.0005288821225589262,0.01499000503382655,251,-0.13274941276229046,0.23748634272195626
APA,-0.0013865534704292398,0.022645537898936148,251,-0.3480249210777392,0.3587727931013868
APD,0.000475257556330599,0.017742349746914316,251,0.11928964663898034,0.2810916836372066
APH,0.0016119748641974963,0.016633211715455343,251,0.40460569091357157,0.26351963252243915
APO,0.002624003335718443,0.02010547028276209,251,0.6586248372653292,0.31853055388462875
APP,0.009586915040473208,0.04944988737087589,251,2.4063156751587753,0.7834335527720714
APTV,-0.001288761758784658,0.024245040662493382,251,-0.32347920145494913,0.3841136826230164
ARE,-0.0008049550952599261,0.01644077599653981,251,-0.20204372891024147,0.26047087736917596
ARES,0.00195145509648762,0.01711908581983226,251,0.4898152292183926,0.27121732600629017
ATO,0.0008455459045249954,0.00943767358816688,251,0.21223202203577385,0.1495208693525839
AVB,0.000819868242735636,0.011498423745517239,251,0.20578692892664463,0.18216929188669573
AVGO,0.003637302270734981,0.033973825462944335,251,0.9129628699544803,0.5382466209492056
AVY,-0.00013357454271559178,0.011076951626368889,251,-0.033527210221613535,0.17549191773572367
