symbol,avg_daily_return,volatility,n_days,annual_return,annual_volatility
A,0.00030102245003544664,0.019944110221624917,249,0.07495459005882621,0.31471275093416307
AAPL,0.0006605121110494074,0.02045046237776176,249,0.16446751565130246,0.32270285318632996
ABBV,0.0012422788113250057,0.016311696032417573,249,0.3093274240199264,0.25739422183888044
ABNB,0.00040281720367278613,0.023723543552389387,249,0.10030148371452374,0.37435120295231705
ABT,0.0005723566651042844,0.01395852517442106,249,0.1425168096109668,0.22026181202421738
ACGL,0.00031279088216097645,0.015350120846487916,249,0.07788492965808314,0.2422208213396279
ACN,-0.0008382850964808164,0.01776249781814619,249,-0.20873298902372328,0.28028748786945945
ADBE,-0.0007379486407460583,0.01932052356514035,249,-0.1837492115457685,0.30487271946987116
ADI,0.0013689500610369267,0.024829606760216037,249,0.34086856519819475,0.3918045859798919
ADM,0.0008600005866644988,0.018066625043279494,249,0.2141401460794602,0.28508653453497057
ADP,-0.0003094074248804263,0.012562419586947034,249,-0.07704244879522615,0.19823163744404956
ADSK,0.00018688491353336816,0.017450130328582922,249,0.04653434346980867,0.2753584120244883
AEE,0.000638557775391497,0.010898177246191267,249,0.15900088607248275,0.17197033626489444
AEP,0.0011221634240166322,0.012248205016838076,249,0.2794186925801414,0.1932734151596899
AES,0.0010884083356202494,0.0311435082284637,249,0.2710136755694421,0.4914362706285731
AFL,0.0004740287033600635,0.013206187771403997,249,0.1180331471366558,0.20839012804819124
AIG,0.0008430683310102533,0.015459209749332634,249,0.20992401442155306,0.2439422151912035
AIZ,0.0007252235335727462,0.016851381348012742,249,0.1805806598596138,0.26591031247528135
AJG,-9.686206624965112e-05,0.01576136071932939,249,-0.024118654496163128,0.2487100770766638
AKAM,-1.1234391194389547e-06,0.02634195552103499,249,-0.00027973634074029974,0.4156690468959341
ALGN,-0.0005223727677181551,0.033259820222410884,249,-0.13007081916182062,0.5248311106113527
ALL,0.0005405315919738276,0.01652538754846158,249,0.1345923664014831,0.26076621708550635
ALLE,0.0010177361006460822,0.016130689872525583,249,0.25341628906087443,0.2545379928127356
AMAT,0.0022614587242077524,0.02874391010278741,249,0.5631032223277304,0.4535712508870948
AMCR,-0.00022851750292472053,0.015631506555944013,249,-0.05690085822825541,0.24666101294067866
AME,0.0006943020702144519,0.014307388881070818,249,0.17288121548339852,0.22576678846090942
AMGN,0.0012145334078263162,0.017363416560938653,249,0.30241881854875274,0.27399009185096634
AMP,-9.897037777000703e-05,0.018010575041181257,249,-0.02464362406473175,0.28420208042023776
AMT,0.0001347191853727941,0.015479501963125865,249,0.03354507715782573,0.24426242092384567
AMZN,0.0004223697307704117,0.021726131263474533,249,0.10517006296183251,0.3428325686683715
AON,9.430763016242255e-05,0.013676972580037087,249,0.023482599910443214,0.21581898702342314
AOS,0.0001728824949299596,0.015386634842864552,249,0.043047741237559944,0.24279700248381508
APA,0.0009703222206842793,0.03402734559675788,249,0.24161023295038553,0.5369424567325052
APD,-0.0003209353192344948,0.017493533941687282,249,-0.07991289448938921,0.27604330948688516
APH,0.003001709035767138,0.02315273981790393,249,0.7474255499060174,0.3653440719483662
APO,-0.0001408700939889953,0.026465169551676503,249,-0.03507665340325983,0.4176133315045717
APTV,0.0011803125279378106,0.022239608092274377,249,0.29389781945651483,0.35093509635884385
ARES,5.129131070428375e-05,0.026277501062207335,249,0.012771536365366654,0.4146519726909575
ATO,0.0009210675088275474,0.010832080244149616,249,0.2293458096980593,0.17092734316518352
AVB,-0.0004833455122231963,0.013940289515778042,249,-0.12035303254357588,0.21997405818446883
AVGO,0.002203629142882613,0.03349424484045418,249,0.5487036565777706,0.5285302686891646
AVY,0.00017470095927646256,0.015690329452601858,249,0.04350053885983918,0.24758922259352312
AWK,0.0004249590864707276,0.01539154730873618,249,0.10581481253121117,0.2428745198877579
AXON,0.0003583284912838504,0.03338580875491489,249,0.08922379432967875,0.5268191761209136
AXP,0.001101230445371129,0.01986181119987645,249,0.2742063808974111,0.31341409427583955
AZO,0.00027466625045408777,0.014365560625323221,249,0.06839189636306786,0.22668472310210802
BA,0.0012164488386886842,0.023708425184242248,249,0.30289576083348235,0.3741126391268894
BAC,0.001106226567497321,0.01685922242711739,249,0.2754504153068329,0.2660340426165559
BALL,8.865232080036917e-05,0.01653826196170007,249,0.022074427879291925,0.26096937189973085
BAX,-0.0012469972155659341,0.02720395900264211,249,-0.3105023066759176,0.42927123240317505
BBY,-0.00042444677909580174,0.02728084886198304,249,-0.10568724799485463,0.4304845339184208
BDX,-0.00034010877772061354,0.01929168662864965,249,-0.08468708565243277,0.30441768028734284
BEN,0.0011062918262231632,0.01953985320363249,249,0.2754666647295676,0.3083336827880749
BF-B,-0.001009050321725828,0.02408487493446307,249,-0.25125353010973117,0.38005291598877794
BG,0.0008953917818451116,0.020272700492657787,249,0.22295255367943279,0.31989781795283756
BIIB,0.0008481340950338016,0.020408794317775227,249,0.2111853896634166,0.3220453422901942
BKNG,0.0005253467361299494,0.01795432234518594,249,0.1308113372963574,0.28331442784975835
BKR,0.0007089065653415335,0.022596462392116573,249,0.17651773477004185,0.3565661622293208
BLDR,-0.0008788696353704023,0.02896237820971434,249,-0.21883853920723018,0.45701861946650646
BLK,0.00043698479224862474,0.01744415040338235,249,0.10880921326990756,0.27526405039645174
BMY,0.0001531170686798677,0.018188723273511235,249,0.03812615010128706,0.2870132121101256
BNY,0.0018284403468968966,0.014961520400477863,249,0.45528164637732726,0.23608880973223806
BR,9.106457102974036e-05,0.013691490264053113,249,0.02267507818640535,0.2160480722131411
BRK-B,0.000504381718869842,0.011805255322951996,249,0.12559104799859067,0.18628378688651762
BRO,-0.0007796207105103302,0.015768150787418535,249,-0.19412555691707223,0.2488172225438528
BSX,0.0003738579105357302,0.015091749917084452,249,0.09309061972339683,0.23814379684214917
BX,-7.633396210574318e-05,0.023865302718234813,249,-0.019007156564330052,0.3765881248584632
BXP,3.0655453937047616e-05,0.0195071096930733,249,0.007633208030324856,0.3078169989065272
C,0.002366238227833805,0.019833440632910485,249,0.5891933187306174,0.3129664142802818
CAG,-0.0014882518446631687,0.015921778488834536,249,-0.370574709321129,0.2512414267823502
CAH,0.0024106685358208863,0.017028978090720178,249,0.6002564654194007,0.26871274180571103
CARR,-0.0007641209867671352,0.021407684265924255,249,-0.19026612570501666,0.33780755980549887
CASY,0.0015286961417608643,0.017852641857155533,249,0.38064533929845523,0.28170993681211454
CAT,0.002131473292050718,0.02018531554052028,249,0.5307368497206287,0.31851890666665617
CB,0.0006527342079121513,0.012765829878148779,249,0.16253081777012568,0.20144139769913527
CBOE,0.0011015082447398392,0.013672125106165164,249,0.27427555294022,0.21574249517593727
CBRE,0.0010237523067307692,0.018271503523348047,249,0.2549143243759615,0.28831946241959855
CCI,0.0003168044163622734,0.01638367851678724,249,0.07888429967420607,0.2585300862832361
CCL,0.0012593605525790712,0.03035951814437886,249,0.3135807775921887,0.47906511577003646
CDNS,0.0004928786600700507,0.024404948427707095,249,0.12272678635744262,0.38510359052078663
CDW,-0.0006251809869421931,0.0202569631550504,249,-0.1556700657486061,0.3196494869540733
CF,-0.00010120381787120423,0.020984680207873453,249,-0.025199750649929853,0.3311326683570382
CFG,0.0015314045213656261,0.020129212351494757,249,0.3813197258200409,0.317633613276367
CHD,-0.0007083314261475213,0.014117340389593006,249,-0.17637452511073282,0.22276787384906482
CHRW,0.0021466553321403434,0.02356257718671702,249,0.5345171777029455,0.3718111965451274
CHTR,-0.0017565981517678978,0.02454181567586973,249,-0.43739293979020655,0.38726331926794066
CI,0.00032243065503649565,0.021031458112888535,249,0.08028523310408742,0.3318708112476782
CINF,0.0007562518622940232,0.015220277516135822,249,0.18830671371121177,0.24017192814602462
CL,-0.00036150415226157684,0.013382634784615906,249,-0.09001453391313263,0.21117441495319572
CLX,-0.0016416047432721533,0.014727773407805273,249,-0.4087595810747662,0.23240034440241775
CMCSA,-0.0006044185479397868,0.017162269581277544,249,-0.1505002184370069,0.2708160460495845
CME,0.000787789327393206,0.011774331141412853,249,0.19615954252090828,0.1857958115326701
CMG,-0.001623408713849699,0.02447852921870585,249,-0.404228769748575,0.3862646758183409
CMI,0.0018180200466261915,0.01983234590574758,249,0.45268699160992165,0.3129491397770258
CMS,0.00038053158048585603,0.010884478248029187,249,0.09475236354097816,0.17175416972004873
CNP,0.0009405676303236818,0.01042030734106023,249,0.23420133995059678,0.16442967635270792
COF,0.0015384630199702517,0.023021320961601744,249,0.38307729197259266,0.3632703173746155
COO,-0.00013293046298156014,0.023070191931024175,249,-0.033099685282408475,0.3640414882645094
COP,9.673772016877603e-05,0.02129926867401966,249,0.024087692322025234,0.3360967906213487
COR,0.0017652701832823183,0.013928143388681098,249,0.43955227563729726,0.21978239553171583
COST,-0.00010135804474266013,0.01363307954694302,249,-0.02523815314092237,0.21512636664385365
CPAY,-0.00021749068240993401,0.02332414357944036,249,-0.05415517992007357,0.36804877768425326
CPB,-0.0013582961590926945,0.01747374032280192,249,-0.3382157436140809,0.2757309714491821
CPRT,-0.001343807495431642,0.015097046438237659,249,-0.33460806636247886,0.23822737453621443
CPT,8.326510390970407e-05,0.01384626323767397,249,0.02073301087351631,0.21849034854220323
CRH,0.001447499868585241,0.0212064236052542,249,0.360427467277725,0.3346317201480534
CRL,0.0009625171314054651,0.03413657773646156,249,0.23966676571996082,0.5386661108235911
CRM,-0.0006621677204863504,0.02012640510248574,249,-0.16487976240110125,0.3175893156341876
CRWD,0.0016075876200807246,0.028682756521054144,249,0.40028931740010043,0.45260626364409984
CSCO,0.0012785790714757426,0.014984245062423943,249,0.3183661887974599,0.23644739884930707
CSGP,-6.7278038167258e-07,0.02032575215266862,249,-0.0001675223150364724,0.32073495902747573
CSX,0.0006542513666310661,0.01484713991986749,249,0.16290859029113547,0.23428391619193703
CTAS,0.0002569418921278513,0.013781179420942062,249,0.06397853113983498,0.21746334323700867
CTSH,0.0005304798921849329,0.016421229538433012,249,0.13208949315404828,0.25912263141015357
CTVA,0.0008739234048966873,0.01635127897319099,249,0.21760692781927515,0.25801883010881266
CVS,0.002715782474577015,0.020018545153964222,249,0.6762298361696768,0.3158873143547312
CVX,0.00045310676353924864,0.015293837908418638,249,0.11282358412127291,0.24133269155727072
D,0.0005875643098825238,0.01429878486627666,249,0.1463035131607484,0.2256310193975189
DAL,0.0011926166824180223,0.03205738609847827,249,0.29696155392208756,0.5058570201778957
DASH,0.0015393598573745914,0.02812039116661718,249,0.38330060448627323,0.4437322880313386
DD,0.0013070115789792739,0.022316629773399425,249,0.3254458831658392,0.352150477986757
DDOG,0.00024301130982142067,0.03105797594181598,249,0.060509816145533746,0.49008659391071147
